Partido,Fecha/Lugar,Categoria 1,Categoria 2,Categoria 3
"Match1：Catar vs Ecuador,""20th Nov,2022 19:00( Local time) Catar | Al Khor | Al Bayt Stadium"",$870,$1125,$1480"
"Match 2: Senegal vs Pa�ses Bajos,""21st Nov,2022 13:00( Local time) Catar | Doha | Al Thumama Stadium"",$350,,"
"Match 3: Inglaterra vs Ir�n,""21st Nov,2022 16:00( Local time) Catar | Doha | Khalifa International Stadium"",$300,$420,$650"
"Match 4: Estados Unidos vs Gales,""21st Nov,2022 22:00( Local time) Catar | Al Rayyan | Ahmad Bin Ali Stadium"",$330,$500,$720"
"Match 5: Francia vs Australia,""22nd Nov,2022 22:00( Local time) Catar | Al Wakrah | Al Janoub Stadium"",$220,$225,$570"
"Match 6: Dinamarca vs T�nez,""22nd Nov,2022 16:00( Local time) Catar | Al Rayyan | Education City Stadium"",$225,,"
"Match 7: M�xico vs Poland,""22nd Nov,2022 19:00( Local time) Catar | Doha | Stadium 974"",$400,$450,$720"
"Match 8: Argentina vs Arabia Saudita,""22nd Nov,2022 13:00( Local time) Catar | Doha | LEstados Unidosil Stadium"",$420,,"
"Match 9: B�lgica vs Canad�,""23rd Nov,2022 22:00( Local time) Catar | Al Rayyan | Ahmad Bin Ali Stadium"",$230,$300,$540"
"Match 10: Espa�a vs Costa Rica,""23rd Nov,2022 19:00( Local time) Catar | Doha | Al Thumama Stadium"",$150,$225,$370"
"Match 11: Alemania vs Japan,""23rd Nov,2022 16:00( Local time) Catar | Doha | Khalifa International Stadium"",$225,,"
"Match 12: Marruecos vs Croacia,""23rd Nov,2022 13:00( Local time) Catar | Al Khor | Al Bayt Stadium"",$250,$330,$490"
"Match 13: Suiza vs Camer�n,""24th Nov,2022 13:00( Local time) Catar | Al Wakrah | Al Janoub Stadium"",$200,$225,$570"
"Match 14: Uruguay vs Corea del Sur,""24th Nov,2022 16:00( Local time) Catar | Al Rayyan | Education City Stadium"",$270,$420,$570"
"Match15：Portugal vs Ghana,""24th Nov,2022 19:00( Local time) Catar | Doha | Stadium 974"",$325,,"
"Match 16: Brasil vs Serbia,""24th Nov,2022 22:00( Local time) Catar | Doha | LEstados Unidosil Stadium"",$350,$350,$660"
